Data,dolar
04/12/2013,2.3740
05/12/2013,2.3747
06/12/2013,2.3525
09/12/2013,2.3225
10/12/2013,2.3102
11/12/2013,2.3262
12/12/2013,2.3338
13/12/2013,2.3354
16/12/2013,2.3255
17/12/2013,2.3221
18/12/2013,2.3274
19/12/2013,2.3528
20/12/2013,2.3817
23/12/2013,2.3706
24/12/2013,2.3554
26/12/2013,2.3507
27/12/2013,2.3538
30/12/2013,2.3426
31/12/2013,2.3426
02/01/2014,2.3975
03/01/2014,2.3741
06/01/2014,2.3789
07/01/2014,2.3634
08/01/2014,2.3779
09/01/2014,2.3960
10/01/2014,2.3819
13/01/2014,2.3491
14/01/2014,2.3617
15/01/2014,2.3470
16/01/2014,2.3683
17/01/2014,2.3601
20/01/2014,2.3335
21/01/2014,2.3608
22/01/2014,2.3601
23/01/2014,2.3761
24/01/2014,2.4129
27/01/2014,2.4044
28/01/2014,2.4165
29/01/2014,2.4397
30/01/2014,2.4224
31/01/2014,2.4263
03/02/2014,2.4090
04/02/2014,2.4177
05/02/2014,2.4106
06/02/2014,2.4041
07/02/2014,2.3817
10/02/2014,2.3936
11/02/2014,2.4076
12/02/2014,2.4086
13/02/2014,2.4238
14/02/2014,2.3924
17/02/2014,2.3870
18/02/2014,2.3983
19/02/2014,2.3986
20/02/2014,2.3799
21/02/2014,2.3625
24/02/2014,2.3391
25/02/2014,2.3367
26/02/2014,2.3454
